split,sample_id,subset,y,votes_entailment,votes_neutral,votes_contradiction,n_raters,top_votes,second_votes,top_margin,majority_label_index
train,mnli::123703e,mnli,2,30,28,42,100,42,30,12,2
train,mnli::123748n,mnli,0,82,15,3,100,82,15,67,0
train,mnli::123751n,mnli,0,78,15,7,100,78,15,63,0
train,mnli::123891c,mnli,1,4,56,40,100,56,40,16,1
train,mnli::123953e,mnli,2,29,26,45,100,45,29,16,2
train,mnli::124037n,mnli,0,69,27,4,100,69,27,42,0
train,mnli::124207c,mnli,1,0,80,20,100,80,20,60,1
train,mnli::124534n,mnli,1,41,47,12,100,47,41,6,1
train,mnli::124590c,mnli,2,4,9,87,100,87,9,78,2
train,mnli::124590e,mnli,0,67,32,1,100,67,32,35,0
train,mnli::124839c,mnli,2,1,48,51,100,51,48,3,2
train,mnli::124839e,mnli,2,7,19,74,100,74,19,55,2
train,mnli::124839n,mnli,1,13,71,16,100,71,16,55,1
train,mnli::124853e,mnli,0,84,16,0,100,84,16,68,0
train,mnli::125013e,mnli,0,74,26,0,100,74,26,48,0
train,mnli::125021c,mnli,1,4,48,48,100,48,48,0,1
train,mnli::125083e,mnli,0,81,19,0,100,81,19,62,0
train,mnli::125225e,mnli,0,67,15,18,100,67,18,49,0
train,mnli::125238c,mnli,1,12,49,39,100,49,39,10,1
train,mnli::125600n,mnli,0,69,31,0,100,69,31,38,0
train,mnli::12562n,mnli,0,65,30,5,100,65,30,35,0
train,mnli::125641n,mnli,0,97,3,0,100,97,3,94,0
train,mnli::125700e,mnli,0,57,36,7,100,57,36,21,0
train,mnli::125700n,mnli,2,4,42,54,100,54,42,12,2
train,mnli::126286c,mnli,1,6,51,43,100,51,43,8,1
train,mnli::126286e,mnli,2,11,32,57,100,57,32,25,2
train,mnli::126583n,mnli,1,41,54,5,100,54,41,13,1
train,mnli::126988n,mnli,1,1,67,32,100,67,32,35,1
train,mnli::127073c,mnli,2,3,47,50,100,50,47,3,2
train,mnli::127410n,mnli,2,12,11,77,100,77,12,65,2
train,mnli::127490e,mnli,0,89,10,1,100,89,10,79,0
train,mnli::127809n,mnli,0,92,5,3,100,92,5,87,0
train,mnli::127858c,mnli,2,4,39,57,100,57,39,18,2
train,mnli::127903c,mnli,2,22,25,53,100,53,25,28,2
train,mnli::128087c,mnli,1,0,52,48,100,52,48,4,1
train,mnli::12815e,mnli,0,68,30,2,100,68,30,38,0
train,mnli::128176e,mnli,0,55,39,6,100,55,39,16,0
train,mnli::128360n,mnli,1,8,64,28,100,64,28,36,1
train,mnli::128497c,mnli,1,3,53,44,100,53,44,9,1
train,mnli::12870c,mnli,2,6,5,89,100,89,6,83,2
train,mnli::128996n,mnli,1,40,52,8,100,52,40,12,1
train,mnli::129081e,mnli,0,63,20,17,100,63,20,43,0
train,mnli::129081n,mnli,1,14,67,19,100,67,19,48,1
train,mnli::129201n,mnli,1,2,69,29,100,69,29,40,1
train,mnli::129360e,mnli,1,33,66,1,100,66,33,33,1
train,mnli::129464n,mnli,1,34,62,4,100,62,34,28,1
train,mnli::129601e,mnli,0,90,10,0,100,90,10,80,0
train,mnli::129980c,mnli,1,9,63,28,100,63,28,35,1
train,mnli::130067e,mnli,0,70,26,4,100,70,26,44,0
train,mnli::130178e,mnli,0,76,22,2,100,76,22,54,0
train,mnli::13017n,mnli,1,24,68,8,100,68,24,44,1
train,mnli::130315e,mnli,1,36,60,4,100,60,36,24,1
train,mnli::130315n,mnli,1,18,73,9,100,73,18,55,1
train,mnli::130482c,mnli,1,1,54,45,100,54,45,9,1
train,mnli::130629n,mnli,0,63,37,0,100,63,37,26,0
train,mnli::130680e,mnli,0,91,9,0,100,91,9,82,0
train,mnli::130869c,mnli,0,68,10,22,100,68,22,46,0
train,mnli::130869n,mnli,0,77,21,2,100,77,21,56,0
train,mnli::130928n,mnli,0,51,45,4,100,51,45,6,0
train,mnli::131059e,mnli,0,89,10,1,100,89,10,79,0
train,mnli::131206n,mnli,1,0,63,37,100,63,37,26,1
train,mnli::131216n,mnli,2,34,22,44,100,44,34,10,2
train,mnli::131235c,mnli,2,32,17,51,100,51,32,19,2
train,mnli::131235n,mnli,1,1,87,12,100,87,12,75,1
train,mnli::13133n,mnli,0,50,47,3,100,50,47,3,0
train,mnli::13137n,mnli,1,23,57,20,100,57,23,34,1
train,mnli::131461c,mnli,2,47,3,50,100,50,47,3,2
train,mnli::131623c,mnli,2,3,40,57,100,57,40,17,2
train,mnli::131623n,mnli,1,28,67,5,100,67,28,39,1
train,mnli::131681n,mnli,0,74,24,2,100,74,24,50,0
train,mnli::131910n,mnli,0,52,46,2,100,52,46,6,0
train,mnli::132019n,mnli,0,75,5,20,100,75,20,55,0
train,mnli::132084e,mnli,0,82,7,11,100,82,11,71,0
train,mnli::13221c,mnli,2,15,33,52,100,52,33,19,2
train,mnli::132344c,mnli,2,0,39,61,100,61,39,22,2
train,mnli::132516e,mnli,0,62,33,5,100,62,33,29,0
train,mnli::132525n,mnli,1,0,88,12,100,88,12,76,1
train,mnli::132539c,mnli,1,1,68,31,100,68,31,37,1
train,mnli::132539e,mnli,0,50,36,14,100,50,36,14,0
train,mnli::13263n,mnli,2,4,29,67,100,67,29,38,2
train,mnli::132716c,mnli,2,7,21,72,100,72,21,51,2
train,mnli::132716n,mnli,0,58,29,13,100,58,29,29,0
train,mnli::132752c,mnli,2,5,43,52,100,52,43,9,2
train,mnli::132934n,mnli,1,43,57,0,100,57,43,14,1
train,mnli::133005c,mnli,1,6,50,44,100,50,44,6,1
train,mnli::133075n,mnli,1,2,87,11,100,87,11,76,1
train,mnli::133274n,mnli,2,17,36,47,100,47,36,11,2
train,mnli::133433e,mnli,1,38,43,19,100,43,38,5,1
train,mnli::133456n,mnli,0,61,39,0,100,61,39,22,0
train,mnli::133597n,mnli,1,32,52,16,100,52,32,20,1
train,mnli::133841c,mnli,1,1,57,42,100,57,42,15,1
train,mnli::133842n,mnli,0,72,23,5,100,72,23,49,0
train,mnli::13387e,mnli,0,70,28,2,100,70,28,42,0
train,mnli::133966e,mnli,0,65,7,28,100,65,28,37,0
train,mnli::134217e,mnli,0,50,42,8,100,50,42,8,0
train,mnli::134217n,mnli,1,31,52,17,100,52,31,21,1
train,mnli::134356n,mnli,0,74,24,2,100,74,24,50,0
train,mnli::134446n,mnli,0,50,47,3,100,50,47,3,0
train,mnli::134514n,mnli,0,90,8,2,100,90,8,82,0
train,mnli::134533c,mnli,1,1,59,40,100,59,40,19,1
train,mnli::134616e,mnli,0,43,22,35,100,43,35,8,0
train,mnli::134655c,mnli,2,8,15,77,100,77,15,62,2
train,mnli::134769n,mnli,2,1,38,61,100,61,38,23,2
train,mnli::134827e,mnli,0,79,18,3,100,79,18,61,0
train,mnli::135021n,mnli,1,28,50,22,100,50,28,22,1
train,mnli::135247c,mnli,2,5,38,57,100,57,38,19,2
train,mnli::135251n,mnli,0,72,26,2,100,72,26,46,0
train,mnli::13531e,mnli,0,53,26,21,100,53,26,27,0
train,mnli::135401n,mnli,0,58,31,11,100,58,31,27,0
train,mnli::135449e,mnli,0,46,15,39,100,46,39,7,0
train,mnli::135779c,mnli,1,1,55,44,100,55,44,11,1
train,mnli::135779e,mnli,0,73,23,4,100,73,23,50,0
train,mnli::135876n,mnli,0,65,29,6,100,65,29,36,0
train,mnli::135898c,mnli,2,12,44,44,100,44,44,0,2
train,mnli::13607n,mnli,0,90,10,0,100,90,10,80,0
train,mnli::136083e,mnli,0,55,45,0,100,55,45,10,0
train,mnli::136097c,mnli,2,3,34,63,100,63,34,29,2
train,mnli::136097n,mnli,0,61,28,11,100,61,28,33,0
train,mnli::136360e,mnli,0,86,13,1,100,86,13,73,0
train,mnli::136360n,mnli,0,57,42,1,100,57,42,15,0
train,mnli::1364n,mnli,0,49,40,11,100,49,40,9,0
train,mnli::136752e,mnli,0,83,9,8,100,83,9,74,0
train,mnli::136752n,mnli,1,43,54,3,100,54,43,11,1
train,mnli::136770c,mnli,1,1,61,38,100,61,38,23,1
train,mnli::136860c,mnli,2,14,23,63,100,63,23,40,2
train,mnli::136860n,mnli,1,29,64,7,100,64,29,35,1
train,mnli::137040e,mnli,0,94,5,1,100,94,5,89,0
train,mnli::13714e,mnli,0,69,27,4,100,69,27,42,0
train,mnli::137399c,mnli,1,14,66,20,100,66,20,46,1
train,mnli::137399e,mnli,1,25,74,1,100,74,25,49,1
train,mnli::137499n,mnli,1,6,66,28,100,66,28,38,1
train,mnli::13760c,mnli,2,2,41,57,100,57,41,16,2
train,mnli::13760n,mnli,1,35,62,3,100,62,35,27,1
train,mnli::13765c,mnli,1,9,60,31,100,60,31,29,1
train,mnli::137708c,mnli,2,11,38,51,100,51,38,13,2
train,mnli::137715c,mnli,1,2,56,42,100,56,42,14,1
train,mnli::137715n,mnli,0,81,16,3,100,81,16,65,0
train,mnli::138227e,mnli,0,89,9,2,100,89,9,80,0
train,mnli::138227n,mnli,1,47,50,3,100,50,47,3,1
train,mnli::138272n,mnli,1,44,53,3,100,53,44,9,1
train,mnli::138285n,mnli,0,77,22,1,100,77,22,55,0
train,mnli::138337e,mnli,0,36,32,32,100,36,32,4,0
train,mnli::138359n,mnli,1,20,68,12,100,68,20,48,1
train,mnli::138448c,mnli,2,35,5,60,100,60,35,25,2
train,mnli::138500e,mnli,0,74,25,1,100,74,25,49,0
train,mnli::138530e,mnli,0,43,36,21,100,43,36,7,0
train,mnli::138563c,mnli,1,26,40,34,100,40,34,6,1
train,mnli::13884c,mnli,1,32,42,26,100,42,32,10,1
train,mnli::13884n,mnli,1,5,61,34,100,61,34,27,1
train,mnli::138966n,mnli,1,9,66,25,100,66,25,41,1
train,mnli::139028e,mnli,0,58,39,3,100,58,39,19,0
train,mnli::139409e,mnli,0,78,21,1,100,78,21,57,0
train,mnli::139409n,mnli,0,64,32,4,100,64,32,32,0
train,mnli::139481e,mnli,0,74,23,3,100,74,23,51,0
train,mnli::139595e,mnli,1,40,53,7,100,53,40,13,1
train,mnli::139595n,mnli,1,15,75,10,100,75,15,60,1
train,mnli::139635n,mnli,0,77,19,4,100,77,19,58,0
train,mnli::139705c,mnli,1,3,52,45,100,52,45,7,1
train,mnli::139705n,mnli,0,79,18,3,100,79,18,61,0
train,mnli::139802n,mnli,1,33,66,1,100,66,33,33,1
train,mnli::140005c,mnli,2,5,10,85,100,85,10,75,2
train,mnli::140278n,mnli,1,30,58,12,100,58,30,28,1
train,mnli::140440c,mnli,1,0,53,47,100,53,47,6,1
train,mnli::140615e,mnli,1,26,59,15,100,59,26,33,1
train,mnli::140782n,mnli,0,84,13,3,100,84,13,71,0
train,mnli::1408c,mnli,2,1,43,56,100,56,43,13,2
train,mnli::140900n,mnli,1,6,92,2,100,92,6,86,1
train,mnli::141041n,mnli,0,51,48,1,100,51,48,3,0
train,mnli::141110n,mnli,0,54,43,3,100,54,43,11,0
train,mnli::14126e,mnli,1,12,68,20,100,68,20,48,1
train,mnli::141293e,mnli,0,64,31,5,100,64,31,33,0
train,mnli::141321n,mnli,2,12,25,63,100,63,25,38,2
train,mnli::141525e,mnli,0,62,33,5,100,62,33,29,0
train,mnli::141525n,mnli,1,11,77,12,100,77,12,65,1
train,mnli::141642n,mnli,0,82,16,2,100,82,16,66,0
train,mnli::14191e,mnli,0,69,23,8,100,69,23,46,0
train,mnli::14191n,mnli,0,94,5,1,100,94,5,89,0
train,mnli::142095n,mnli,1,9,84,7,100,84,9,75,1
train,mnli::142120n,mnli,0,80,13,7,100,80,13,67,0
train,mnli::142238n,mnli,0,73,26,1,100,73,26,47,0
train,mnli::142298n,mnli,1,34,61,5,100,61,34,27,1
train,mnli::142430c,mnli,2,14,40,46,100,46,40,6,2
train,mnli::142604e,mnli,0,81,19,0,100,81,19,62,0
train,mnli::142630n,mnli,1,2,51,47,100,51,47,4,1
train,mnli::142643c,mnli,2,20,19,61,100,61,20,41,2
train,mnli::142729c,mnli,2,9,12,79,100,79,12,67,2
train,mnli::14280n,mnli,1,6,64,30,100,64,30,34,1
train,mnli::142816c,mnli,1,4,62,34,100,62,34,28,1
train,mnli::142816n,mnli,1,37,46,17,100,46,37,9,1
train,mnli::142950e,mnli,0,69,23,8,100,69,23,46,0
train,mnli::142964n,mnli,1,4,82,14,100,82,14,68,1
train,mnli::143024c,mnli,2,0,16,84,100,84,16,68,2
train,mnli::143751e,mnli,0,50,45,5,100,50,45,5,0
train,mnli::143760n,mnli,1,4,58,38,100,58,38,20,1
train,mnli::143789n,mnli,0,88,7,5,100,88,7,81,0
train,mnli::143834n,mnli,0,56,39,5,100,56,39,17,0
train,mnli::14388c,mnli,1,16,52,32,100,52,32,20,1
train,mnli::144173n,mnli,1,23,62,15,100,62,23,39,1
train,mnli::144207n,mnli,0,42,27,31,100,42,31,11,0
