split,sample_id,subset,y,n_raters,support,top_votes,second_votes,top_margin,margin_rate,peak,entropy,Hnorm,unique_top,in_S_amb,in_S_easy
train,mnli::102817e,mnli,0,100,3,69,27,42,0.42,0.69,0.738308969550018,0.6720377854548656,1,0,0
train,mnli::102817n,mnli,1,100,3,50,33,17,0.17,0.5,1.0136649195005232,0.9226775723849115,1,1,0
train,mnli::102857n,mnli,0,100,3,60,35,25,0.25,0.6,0.8237197315118312,0.7497820113685953,1,1,0
train,mnli::102923n,mnli,0,100,2,81,19,62,0.62,0.81,0.4862229646617922,0.4425792153219578,1,0,1
train,mnli::103155e,mnli,0,100,3,63,35,28,0.28,0.63,0.7367605432289321,0.6706283470778718,1,0,0
train,mnli::103168n,mnli,0,100,3,82,17,65,0.65,0.82,0.5100141347418471,0.4642348715761745,1,0,1
train,mnli::103169n,mnli,0,100,3,72,26,46,0.46,0.72,0.6650025367997473,0.6053113948014869,1,0,0
train,mnli::103364n,mnli,0,100,3,75,24,51,0.51,0.75,0.6043211815523516,0.5500768449304291,1,0,0
train,mnli::103400e,mnli,0,100,3,49,43,6,0.06,0.49,0.9145068668312656,0.8324200232094233,1,1,0
train,mnli::103431n,mnli,0,100,3,83,16,67,0.67,0.83,0.49391828595855014,0.44958379862776376,1,0,1
train,mnli::103455e,mnli,0,100,3,52,27,25,0.25,0.52,1.0212977865826613,0.9296253074147024,1,1,0
train,mnli::103482c,mnli,1,100,3,50,49,1,0.01,0.5,0.7421667371998113,0.6755492768969195,1,0,0
train,mnli::103559e,mnli,0,100,3,64,23,41,0.41,0.64,0.8888779265041972,0.8090915563868472,1,0,0
train,mnli::103863n,mnli,2,100,3,59,40,19,0.19,0.59,0.7238713124381424,0.6588960636110485,1,0,0
train,mnli::104395n,mnli,0,100,3,64,34,30,0.3,0.64,0.7306594906572075,0.6650749297033755,1,0,0
train,mnli::104399n,mnli,1,100,3,46,39,7,0.07,0.46,1.008998571447214,0.9184300793416957,1,1,0
train,mnli::104412e,mnli,0,100,2,88,12,76,0.76,0.88,0.3669249912727096,0.3339895202861302,1,0,1
train,mnli::104755e,mnli,0,100,3,88,9,79,0.79,0.88,0.43440520862696663,0.39541266114328005,1,0,1
train,mnli::104805e,mnli,1,100,3,72,16,56,0.56,0.72,0.7841675867636065,0.7137800977215386,1,0,0
train,mnli::104837e,mnli,0,100,3,85,8,77,0.77,0.85,0.5263475842030636,0.4791022179819007,1,0,1
train,mnli::104935e,mnli,0,100,3,67,32,35,0.35,0.67,0.6789906421002316,0.6180439169521745,1,0,0
train,mnli::105051c,mnli,2,100,3,61,33,28,0.28,0.61,0.8361840654047497,0.7611275370117041,1,0,0
train,mnli::105176n,mnli,1,100,3,50,42,8,0.08,0.5,0.9129821202606168,0.8310321390701539,1,1,0
train,mnli::105179c,mnli,2,100,3,48,45,3,0.03,0.48,0.8977818699217879,0.817196274957204,1,1,0
train,mnli::105191c,mnli,2,100,3,75,24,51,0.51,0.75,0.6043211815523516,0.5500768449304291,1,0,0
train,mnli::105196e,mnli,0,100,3,52,26,26,0.26,0.52,1.0233890127013343,0.9315288234596651,1,1,0
train,mnli::105196n,mnli,1,100,3,50,49,1,0.01,0.5,0.7421667371998113,0.6755492768969195,1,0,0
train,mnli::105385c,mnli,2,100,3,74,23,51,0.51,0.74,0.666039978693258,0.6062557151083064,1,0,0
train,mnli::105453n,mnli,0,100,2,69,31,38,0.38,0.69,0.6191006644255871,0.5635297099909076,1,0,0
train,mnli::10547c,mnli,2,100,3,91,6,85,0.85,0.91,0.3598240982440312,0.3275260089073461,1,0,1
train,mnli::105561e,mnli,0,100,3,60,26,34,0.34,0.6,0.9319903226231095,0.8483341504881559,1,1,0
train,mnli::105561n,mnli,0,100,3,50,43,7,0.07,0.5,0.8956289230919146,0.8152365782998114,1,1,0
train,mnli::105566e,mnli,0,100,3,51,48,3,0.03,0.51,0.7417626280628976,0.6751814409086623,1,0,0
train,mnli::105587n,mnli,0,100,3,72,25,47,0.47,0.72,0.6882932554194381,0.6265115205054576,1,0,0
train,mnli::105769e,mnli,0,100,3,71,25,46,0.46,0.71,0.7184967426269115,0.6540039193426217,1,0,0
train,mnli::105790e,mnli,0,100,3,86,10,76,0.76,0.86,0.48872122746587454,0.4448532321246563,1,0,1
train,mnli::105790n,mnli,0,100,3,60,33,27,0.27,0.6,0.8585022429370206,0.7814424176683988,1,1,0
train,mnli::105904c,mnli,2,100,3,52,40,12,0.12,0.52,0.9086163473457878,0.8270582413085317,1,1,0
train,mnli::105911c,mnli,1,100,3,50,37,13,0.13,0.5,0.9796756391256555,0.8917391961028892,1,1,0
train,mnli::105911n,mnli,2,100,3,52,41,11,0.11,0.52,0.8917451945431111,0.81170145622912,1,1,0
train,mnli::105962c,mnli,0,100,3,90,7,83,0.83,0.9,0.3861694035969376,0.35150653927702347,1,0,1
train,mnli::106013c,mnli,2,100,3,75,16,59,0.59,0.75,0.7256896933172339,0.6605512252161457,1,0,0
train,mnli::106091e,mnli,0,100,3,76,15,61,0.61,0.76,0.7098551052448885,0.6461379620152196,1,0,0
train,mnli::106390e,mnli,0,100,3,70,17,53,0.53,0.7,0.8161338315939836,0.7428770276941051,1,0,0
train,mnli::106390n,mnli,0,100,3,60,32,28,0.28,0.6,0.8731726364245317,0.7947959852907823,1,1,0
train,mnli::106411n,mnli,0,100,3,75,22,53,0.53,0.75,0.6540663924369857,0.5953568872144474,1,0,0
train,mnli::106431e,mnli,0,100,3,81,16,65,0.65,0.81,0.5690938064850076,0.5180115062930364,1,0,0
train,mnli::106548e,mnli,0,100,2,86,14,72,0.72,0.86,0.40496348506393853,0.3686136494567082,1,0,1
train,mnli::107020c,mnli,1,100,3,49,36,13,0.13,0.49,1.0019038919043532,0.9119722237214369,1,1,0
train,mnli::10724n,mnli,1,100,3,78,18,60,0.6,0.78,0.6312186103041044,0.574559939675675,1,0,0
train,mnli::107302e,mnli,0,100,2,81,19,62,0.62,0.81,0.4862229646617922,0.4425792153219578,1,0,1
train,mnli::107399c,mnli,1,100,3,68,30,38,0.38,0.68,0.7016827883584933,0.6386991986127977,1,0,0
train,mnli::107430n,mnli,1,100,3,54,38,16,0.16,0.54,0.9024807368129698,0.821473367922256,1,1,0
train,mnli::107468n,mnli,0,100,2,64,36,28,0.28,0.64,0.6534181947937018,0.5947668722929232,1,0,0
train,mnli::107608e,mnli,0,100,3,65,34,31,0.31,0.65,0.6928558821864323,0.6306646023652333,1,0,0
train,mnli::107693n,mnli,1,100,3,51,47,4,0.04,0.51,0.7765067968837588,0.7068069462659552,1,1,0
train,mnli::107817c,mnli,2,100,3,62,33,29,0.29,0.62,0.812027476354491,0.7391392620766544,1,0,0
train,mnli::108062c,mnli,0,100,3,76,16,60,0.6,0.76,0.703843328477728,0.6406658069800262,1,0,0
train,mnli::108243e,mnli,0,100,3,60,31,29,0.29,0.6,0.8862772033041759,0.8067242761125893,1,1,0
train,mnli::108562c,mnli,1,100,3,87,12,75,0.75,0.87,0.4216413247840435,0.3837944733853429,1,0,1
train,mnli::108588c,mnli,2,100,2,56,44,12,0.12,0.56,0.6859298002523728,0.6243602109020209,1,0,0
train,mnli::108624c,mnli,0,100,3,47,42,5,0.05,0.47,0.9620110934975284,0.8756602337516284,1,1,0
train,mnli::108813n,mnli,0,100,2,89,11,78,0.78,0.89,0.34651533691866615,0.3154118522911846,1,0,1
train,mnli::108846e,mnli,0,100,3,69,20,49,0.49,0.69,0.8207217630973636,0.7470531429175586,1,0,0
train,mnli::108847e,mnli,0,100,3,71,25,46,0.46,0.71,0.7184967426269115,0.6540039193426217,1,0,0
train,mnli::10916n,mnli,0,100,2,88,12,76,0.76,0.88,0.3669249912727096,0.3339895202861302,1,0,1
train,mnli::109254n,mnli,1,100,3,90,7,83,0.83,0.9,0.3861694035969376,0.35150653927702347,1,0,1
train,mnli::109278n,mnli,1,100,3,74,13,61,0.61,0.74,0.7532751840770062,0.6856606209914426,1,0,0
train,mnli::109443e,mnli,1,100,3,77,18,59,0.59,0.77,0.6597011991177401,0.6004859092897289,1,0,0
train,mnli::109443n,mnli,1,100,3,66,28,38,0.38,0.66,0.7994752252479101,0.7277137107369743,1,0,0
train,mnli::109510n,mnli,1,100,3,56,26,30,0.3,0.56,0.9836012228695128,0.8953124164139568,1,1,0
train,mnli::109679n,mnli,0,100,2,86,14,72,0.72,0.86,0.40496348506393853,0.3686136494567082,1,0,1
train,mnli::109876c,mnli,2,100,3,55,34,21,0.21,0.55,0.9384058757329168,0.8541738385892101,1,1,0
train,mnli::10994e,mnli,0,100,3,47,42,5,0.05,0.47,0.9620110934975283,0.8756602337516283,1,1,0
train,mnli::10994n,mnli,1,100,3,75,15,60,0.6,0.75,0.7305880613711224,0.6650099119652508,1,0,0
train,mnli::110061n,mnli,1,100,3,73,26,47,0.47,0.73,0.6260296940641805,0.5698367845704152,1,0,0
train,mnli::11020c,mnli,2,100,3,67,32,35,0.35,0.67,0.6789906421002316,0.6180439169521745,1,0,0
train,mnli::110364c,mnli,2,100,2,75,25,50,0.5,0.75,0.5623351446188083,0.5118595071429147,1,0,0
train,mnli::110388n,mnli,0,100,3,65,31,34,0.34,0.65,0.7718306527207363,0.70255053641941,1,0,0
train,mnli::110528c,mnli,2,100,3,46,45,1,0.01,0.46,0.933246811246204,0.8494778557207068,1,1,0
train,mnli::110671n,mnli,0,100,3,44,34,10,0.1,0.44,1.061134828955732,0.9658865460554669,1,1,0
train,mnli::111005e,mnli,0,100,3,76,16,60,0.6,0.76,0.7038433284777279,0.6406658069800261,1,0,0
train,mnli::111011e,mnli,0,100,3,53,37,16,0.16,0.53,0.9346173348276992,0.8507253600456007,1,1,0
train,mnli::111084n,mnli,1,100,3,80,17,63,0.63,0.8,0.584944241099386,0.5324391936381274,1,0,0
train,mnli::111167c,mnli,1,100,3,64,32,32,0.32,0.64,0.7789977492971932,0.7090743088643241,1,0,0
train,mnli::111167n,mnli,1,100,3,49,46,3,0.03,0.49,0.8565313019071956,0.7796483898296839,1,1,0
train,mnli::111243n,mnli,0,100,3,78,21,57,0.57,0.78,0.567587589248291,0.5166404882803554,1,0,0
train,mnli::111338c,mnli,2,100,3,90,7,83,0.83,0.9,0.3861694035969376,0.35150653927702347,1,0,1
train,mnli::111338e,mnli,0,100,2,63,37,26,0.26,0.63,0.6589556806830628,0.5998073091663122,1,0,0
train,mnli::111577n,mnli,1,100,3,62,24,38,0.38,0.62,0.9141459218304915,0.8320914769110639,1,0,0
train,mnli::111662n,mnli,2,100,3,60,36,24,0.24,0.6,0.8030448563658358,0.7309629290050981,1,1,0
train,mnli::111680e,mnli,0,100,3,91,7,84,0.84,0.91,0.350211381012687,0.31877613660890486,1,0,1
train,mnli::111693e,mnli,0,100,3,43,33,10,0.1,0.43,1.0712737216724142,0.975115363920752,1,1,0
train,mnli::111805c,mnli,2,100,3,59,21,38,0.38,0.59,0.9609269274509998,0.8746733832879011,1,1,0
train,mnli::112293n,mnli,0,100,3,54,42,12,0.12,0.54,0.8258457867195729,0.751717230216656,1,1,0
train,mnli::112402c,mnli,1,100,3,44,43,1,0.01,0.44,0.9893672808458248,0.9005609085670006,1,1,0
train,mnli::112467n,mnli,1,100,3,51,43,8,0.08,0.51,0.8751174953967701,0.7965662722175708,1,1,0
train,mnli::112547n,mnli,0,100,3,49,47,2,0.02,0.49,0.8331570926653611,0.7583722676863826,1,1,0
train,mnli::112592n,mnli,1,100,3,68,25,43,0.43,0.68,0.7949722798174168,0.7236149531707792,1,0,0
train,mnli::112688n,mnli,0,100,3,62,33,29,0.29,0.62,0.812027476354491,0.7391392620766544,1,0,0
train,mnli::112800n,mnli,1,100,3,67,31,36,0.36,0.67,0.7096271539945498,0.6459304718454026,1,0,0
train,mnli::11297c,mnli,2,100,2,76,24,52,0.52,0.76,0.5510799280869728,0.5016145675514593,1,0,0
train,mnli::113030n,mnli,1,100,2,51,49,2,0.02,0.51,0.6929471672244782,0.6307476935876668,1,0,0
train,mnli::113039e,mnli,0,100,3,42,40,2,0.02,0.42,1.0395302482421924,0.9462212092151775,1,1,0
train,mnli::11303n,mnli,0,100,3,67,31,36,0.36,0.67,0.7096271539945498,0.6459304718454026,1,0,0
train,mnli::113193c,mnli,2,100,2,69,31,38,0.38,0.69,0.6191006644255871,0.5635297099909076,1,0,0
train,mnli::113193n,mnli,0,100,2,69,31,38,0.38,0.69,0.6191006644255871,0.5635297099909076,1,0,0
train,mnli::113280n,mnli,1,100,3,65,18,47,0.47,0.65,0.8899052756450608,0.8100266898743027,1,0,0
train,mnli::113570c,mnli,2,100,3,60,35,25,0.25,0.6,0.8237197315118312,0.7497820113685953,1,1,0
train,mnli::113628e,mnli,0,100,3,65,24,41,0.41,0.65,0.8653170612645995,0.7876455326324967,1,0,0
train,mnli::11362e,mnli,0,100,3,79,14,65,0.65,0.79,0.6476246459591363,0.5894933568823235,1,0,0
train,mnli::113668n,mnli,0,100,2,66,34,32,0.32,0.66,0.6410354778811556,0.5834956376269081,1,0,0
train,mnli::113908n,mnli,0,100,2,81,19,62,0.62,0.81,0.4862229646617922,0.4425792153219578,1,0,1
train,mnli::113926e,mnli,0,100,3,63,36,27,0.27,0.63,0.7049284905172262,0.6416535640356238,1,0,0
train,mnli::113967e,mnli,1,100,3,73,19,54,0.54,0.73,0.7473360645737552,0.6802546014479591,1,0,0
train,mnli::114074e,mnli,0,100,3,82,15,67,0.67,0.82,0.552494504406029,0.5029021704061216,1,0,1
train,mnli::114458e,mnli,0,100,3,68,29,39,0.39,0.68,0.726430787112218,0.66122579785895,1,0,0
train,mnli::114458n,mnli,1,100,3,46,45,1,0.01,0.46,0.9332468112462041,0.8494778557207069,1,1,0
train,mnli::114492e,mnli,0,100,3,82,16,66,0.66,0.82,0.53418326406184,0.48623456115664887,1,0,1
train,mnli::114492n,mnli,1,100,3,66,23,43,0.43,0.66,0.8550659065791253,0.7783145295195585,1,0,0
train,mnli::114916c,mnli,1,100,3,66,30,36,0.36,0.66,0.7641870673072082,0.695593045143944,1,0,0
train,mnli::114916n,mnli,1,100,3,58,37,21,0.21,0.58,0.8336017165711,0.7587769818064821,1,1,0
train,mnli::114971e,mnli,2,100,3,36,36,0,0.0,0.36,1.0920192874506351,0.9939987916706561,0,0,0
train,mnli::114971n,mnli,1,100,3,68,24,44,0.44,0.68,0.806816703850445,0.7343962125424431,1,0,0
train,mnli::114988e,mnli,1,100,3,66,31,35,0.35,0.66,0.7425036542002118,0.6758559519668015,1,0,0
train,mnli::115173c,mnli,2,100,3,50,49,1,0.01,0.5,0.7421667371998113,0.6755492768969195,1,0,0
train,mnli::115173n,mnli,1,100,3,77,22,55,0.55,0.77,0.5804106714219253,0.5283125606810566,1,0,0
train,mnli::115224n,mnli,0,100,2,82,18,64,0.64,0.82,0.4713934868100942,0.4290808428709484,1,0,1
train,mnli::115247c,mnli,2,100,3,54,42,12,0.12,0.54,0.8258457867195729,0.751717230216656,1,1,0
train,mnli::11534n,mnli,0,100,3,51,45,6,0.06,0.51,0.8314892184572458,0.7568541031570768,1,1,0
train,mnli::115391n,mnli,0,100,3,87,12,75,0.75,0.87,0.4216413247840434,0.38379447338534284,1,0,1
train,mnli::115593c,mnli,1,100,3,51,47,4,0.04,0.51,0.7765067968837588,0.7068069462659552,1,1,0
train,mnli::115821n,mnli,1,100,3,56,41,15,0.15,0.56,0.7954503231675982,0.7240500869801424,1,1,0
train,mnli::115830n,mnli,1,100,3,61,27,34,0.34,0.61,0.9094723770466425,0.8278374331214072,1,0,0
train,mnli::115954n,mnli,0,100,3,65,32,33,0.33,0.65,0.7498246029999714,0.6825197667404693,1,0,0
train,mnli::116059n,mnli,0,100,3,56,37,19,0.19,0.56,0.8787199010641729,0.7998453231662637,1,1,0
train,mnli::116111e,mnli,0,100,3,62,35,27,0.27,0.62,0.7690166770787965,0.699989145407344,1,0,0
train,mnli::116176c,mnli,0,100,3,69,26,43,0.43,0.69,0.7560597023086921,0.6881951987131808,1,0,0
train,mnli::11618c,mnli,2,100,2,89,11,78,0.78,0.89,0.34651533691866615,0.3154118522911846,1,0,1
train,mnli::116293c,mnli,1,100,3,72,26,46,0.46,0.72,0.6650025367997473,0.6053113948014869,1,0,0
train,mnli::116665n,mnli,1,100,3,57,42,15,0.15,0.57,0.7308097236433831,0.6652116776605258,1,0,0
train,mnli::116713c,mnli,2,100,3,58,40,18,0.18,0.58,0.7606985146143947,0.6924176276387906,1,0,0
train,mnli::116713e,mnli,0,100,3,72,21,51,0.51,0.72,0.7504071579407408,0.6830500310992228,1,0,0
train,mnli::116809n,mnli,1,100,3,57,42,15,0.15,0.57,0.7308097236433831,0.6652116776605258,1,0,0
train,mnli::117089n,mnli,1,100,3,67,32,35,0.35,0.67,0.6789906421002316,0.6180439169521745,1,0,0
train,mnli::117093n,mnli,0,100,3,54,44,10,0.1,0.54,0.7722124183081494,0.7028980344324497,1,0,0
train,mnli::117102e,mnli,0,100,2,87,13,74,0.74,0.87,0.3863867062886037,0.3517043367110296,1,0,1
train,mnli::117177n,mnli,0,100,3,73,25,48,0.48,0.73,0.6545528941215167,0.5957997201315275,1,0,0
train,mnli::117329e,mnli,0,100,3,85,14,71,0.71,0.85,0.4594485918251862,0.41820813089774694,1,0,1
train,mnli::117420n,mnli,0,100,3,74,25,49,0.49,0.74,0.6154430607999556,0.5602004156954052,1,0,0
train,mnli::117487e,mnli,0,100,3,76,22,54,0.54,0.76,0.6199205640204514,0.5642760147640484,1,0,0
train,mnli::117576e,mnli,0,100,3,69,28,41,0.41,0.69,0.7176610663068821,0.6532432539753678,1,0,0
train,mnli::117680c,mnli,2,100,3,76,18,58,0.58,0.76,0.6860403627954869,0.6244608492657588,1,0,0
train,mnli::117713c,mnli,1,100,3,46,33,13,0.13,0.46,1.0507979363972504,0.9564775009673098,1,1,0
train,mnli::117713n,mnli,2,100,3,61,37,24,0.24,0.61,0.7476345575528096,0.6805263014663672,1,0,0
train,mnli::117809n,mnli,1,100,3,57,40,17,0.17,0.57,0.7921208130167801,0.7210194362354155,1,1,0
train,mnli::117892n,mnli,1,100,2,54,46,8,0.08,0.54,0.6899437584583995,0.628013873115187,1,0,0
train,mnli::117900n,mnli,1,100,3,83,13,70,0.7,0.83,0.5486372906021197,0.49939118309631686,1,0,1
train,mnli::118141n,mnli,0,100,3,72,25,47,0.47,0.72,0.6882932554194381,0.6265115205054576,1,0,0
train,mnli::118393c,mnli,2,100,3,60,33,27,0.27,0.6,0.8585022429370206,0.7814424176683988,1,1,0
train,mnli::118403e,mnli,0,100,3,83,14,69,0.69,0.83,0.5351060867107357,0.4870745505308934,1,0,1
train,mnli::118403n,mnli,1,100,3,52,41,11,0.11,0.52,0.891745194543111,0.8117014562291199,1,1,0
train,mnli::118415n,mnli,0,100,3,53,42,11,0.11,0.53,0.8506223365047471,0.7742698177315943,1,1,0
train,mnli::118652e,mnli,1,100,3,48,46,2,0.02,0.48,0.8783130902136367,0.7994750279722882,1,1,0
train,mnli::118999n,mnli,0,100,3,71,27,44,0.44,0.71,0.6749285758563897,0.6143464649158729,1,0,0
train,mnli::119065n,mnli,1,100,3,75,23,52,0.52,0.75,0.6320274875609553,0.575296211484387,1,0,0
train,mnli::119421n,mnli,1,100,3,53,36,17,0.17,0.53,0.9470801739534465,0.8620695250929956,1,1,0
train,mnli::119637e,mnli,0,100,3,56,42,14,0.14,0.56,0.7672890558861942,0.6984165968290856,1,0,0
train,mnli::119758c,mnli,2,100,3,53,42,11,0.11,0.53,0.8506223365047471,0.7742698177315943,1,1,0
train,mnli::119758n,mnli,0,100,3,55,42,13,0.13,0.55,0.7983573257711744,0.7266961547818238,1,1,0
train,mnli::119768n,mnli,1,100,3,50,49,1,0.01,0.5,0.7421667371998113,0.6755492768969195,1,0,0
train,mnli::120144n,mnli,1,100,3,59,39,20,0.2,0.59,0.756771108481956,0.68884274851815,1,0,0
train,mnli::120149c,mnli,2,100,3,69,22,47,0.47,0.69,0.8058571461168933,0.7335227854531512,1,0,0
train,mnli::120166e,mnli,0,100,3,64,32,32,0.32,0.64,0.7789977492971932,0.7090743088643241,1,0,0
train,mnli::120176c,mnli,2,100,3,90,8,82,0.82,0.9,0.375123215745267,0.3414518657897441,1,0,1
train,mnli::120226c,mnli,2,100,3,71,27,44,0.44,0.71,0.6749285758563897,0.6143464649158729,1,0,0
train,mnli::120226e,mnli,0,100,3,78,20,58,0.58,0.78,0.5939279028482127,0.5406164749606566,1,0,0
train,mnli::120323n,mnli,0,100,3,75,22,53,0.53,0.75,0.6540663924369857,0.5953568872144474,1,0,0
train,mnli::120496n,mnli,0,100,3,83,15,68,0.68,0.83,0.5174620077403846,0.47101421773437824,1,0,1
train,mnli::120759n,mnli,1,100,3,76,21,55,0.55,0.76,0.6415047667885176,0.58392280279901,1,0,0
train,mnli::120855n,mnli,1,100,3,82,17,65,0.65,0.82,0.5100141347418471,0.4642348715761745,1,0,1
train,mnli::12092e,mnli,1,100,3,50,49,1,0.01,0.5,0.7421667371998113,0.6755492768969195,1,0,0
train,mnli::120955n,mnli,2,100,3,55,41,14,0.14,0.55,0.8231206123166706,0.749236669575735,1,1,0
train,mnli::121360c,mnli,1,100,3,52,47,5,0.05,0.52,0.7409540795220215,0.674445468310125,1,0,0
train,mnli::121360e,mnli,0,100,3,54,45,9,0.09,0.54,0.7381206804467393,0.6718663973271148,1,0,0
train,mnli::121422c,mnli,1,100,3,72,16,56,0.56,0.72,0.7841675867636065,0.7137800977215386,1,0,0
train,mnli::121910c,mnli,0,100,3,60,23,37,0.37,0.6,0.9457535105015699,0.8608619439785654,1,1,0
train,mnli::122020n,mnli,0,100,3,49,48,1,0.01,0.49,0.8070433860180533,0.734602547543377,1,1,0
train,mnli::122062n,mnli,1,100,3,63,36,27,0.27,0.63,0.7049284905172262,0.6416535640356238,1,0,0
train,mnli::122197n,mnli,1,100,3,64,30,34,0.34,0.64,0.8156202299855715,0.7424095273632698,1,0,0
train,mnli::122393n,mnli,0,100,3,69,29,40,0.4,0.69,0.693257963508706,0.6310305925570608,1,0,0
train,mnli::122397c,mnli,2,100,3,67,25,42,0.42,0.67,0.816951851444707,0.7436216214503929,1,0,0
train,mnli::122928e,mnli,0,100,3,77,13,64,0.64,0.77,0.6967380853913504,0.6341983360080862,1,0,0
train,mnli::123027n,mnli,0,100,3,72,26,46,0.46,0.72,0.6650025367997473,0.6053113948014869,1,0,0
train,mnli::123038e,mnli,0,100,3,66,27,39,0.39,0.66,0.8139083919956098,0.7408513452751766,1,0,0
train,mnli::123229n,mnli,1,100,3,59,40,19,0.19,0.59,0.7238713124381424,0.6588960636110485,1,0,0
train,mnli::123267e,mnli,1,100,3,57,42,15,0.15,0.57,0.7308097236433831,0.6652116776605258,1,0,0
train,mnli::123373n,mnli,0,100,3,50,45,5,0.05,0.5,0.8556886672556694,0.7788813907161496,1,1,0
train,mnli::123675n,mnli,2,100,3,48,45,3,0.03,0.48,0.8977818699217879,0.817196274957204,1,1,0
train,mnli::123703e,mnli,2,100,3,42,30,12,0.12,0.42,1.081972468961373,0.9848537833789299,1,1,0
train,mnli::123748n,mnli,0,100,3,82,15,67,0.67,0.82,0.552494504406029,0.5029021704061216,1,0,1
train,mnli::123751n,mnli,0,100,3,78,15,63,0.63,0.78,0.6645160605710063,0.6048685850552654,1,0,0
train,mnli::123891c,mnli,1,100,3,56,40,16,0.16,0.56,0.8199696830860377,0.7463685701896878,1,1,0
train,mnli::123953e,mnli,2,100,3,45,29,16,0.16,0.45,1.0685511750097847,0.9726371951521047,1,1,0
